App_ID,Feature
1,"click pictures/record videos"
1,"make video calls (group)"
1,"make voice calls"
1,"post stories/status"
1,"send messages"
2,"click pictures/record videos"
2,"make video calls (group)"
2,"make voice calls"
2,"post pictures/videos"
2,"post stories/status"
2,"send messages"
3,"camera filters"
3,"click pictures/record videos"
3,"find current location"
3,"make video calls (group)"
3,"make voice calls"
3,"post stories/status"
3,"send messages"
4,"camera filters"
4,"click pictures/record videos"
4,"edit pictures/videos"
4,"make video calls (group)"
4,"make voice calls"
4,"post pictures/videos"
4,"post stories/status"
4,"send messages"
5,"camera filters"
5,"click pictures/record videos"
5,"make voice calls"
5,"post pictures/videos"
5,"post stories/status"
5,"send messages"
6,"make voice calls"
6,"send messages"
7,"post pictures/videos"
7,"post stories/status"
8,"post pictures/videos"
8,"post stories/status"
9,"find current location"
9,"find routes"
10,"make video calls (group)"
11,"make video calls (group)"
12,"make video calls (group)"
12,"make voice calls"
12,"send messages"
13,"make video calls (group)"
14,"play music"
14,"recommend music"
15,"play music"
15,"recommend music"
16,"play music"
16,"recommend music"
17,"play music"
17,"recommend music"
18,"play music"
18,"recommend music"
19,"stream video content"
19,"watch movies/shows"
20,"stream video content"
20,"watch movies/shows"
21,"stream video content"
21,"watch movies/shows"
22,"stream video content"
23,"stream video content"
23,"watch movies/shows"
24,"stream video content"
24,"watch movies/shows"
25,"store pictures/videos"
26,"store pictures/videos"
26,"store textual data"
27,"store textual data"
28,"store pictures/videos"
28,"store textual data"
29,"store pictures/videos"
29,"store textual data"
30,"store pictures/videos"
30,"store textual data"
31,"food delivery"
32,"food delivery"
33,"shop for food items/groceries"
34,"shop for food items/groceries"
35,"shop for food items/groceries"
36,"food delivery"
37,"shop for food items/groceries"
37,"shop for goods"
38,"shop for goods"
39,"shop for goods"
40,"shop for goods"
41,"record health parameters"
42,"record health parameters"
43,"record health parameters"
44,"book cabs/autos/bikes"
45,"book cabs/autos/bikes"
45,"book transport for goods"
46,"check bank balance/statement"
46,"pay money to vendors/another customer"
47,"check bank balance/statement"
47,"pay money to vendors/another customer"
48,"check bank balance/statement"
48,"pay money to vendors/another customer"
